prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlPartitionFrom,prlNPDIDPartitionFrom,prlAdditAreaTo,prlNPDIDAdditAreaTo,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
001,1-A,North sea,ACTIVE,YES OR PARTLY,01.09.1965,01.03.2030,2146,101,PRODUCTION EXTENDED,20756,,,,,https://factpages.sodir.no/licence/pageview/all/20756,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=20756,31.01.2025,31.01.2025,09.09.2025
001 B,1-A,North sea,ACTIVE,NO,15.12.1999,31.12.2036,214,43,PRODUCTION EXTENDED,917266,001,20756,,,https://factpages.sodir.no/licence/pageview/all/917266,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=917266,31.01.2025,07.05.2025,09.09.2025
001 CS,1-A,North sea,ACTIVE,YES OR PARTLY,29.09.2017,01.03.2030,18,18,PRODUCTION,29852542,001,20756,,,https://factpages.sodir.no/licence/pageview/all/29852542,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=29852542,31.01.2025,31.01.2025,09.09.2025
001 DS,1-A,North sea,ACTIVE,YES OR PARTLY,07.06.2021,01.03.2030,4,4,PRODUCTION,38723757,001,20756,,,https://factpages.sodir.no/licence/pageview/all/38723757,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=38723757,31.01.2025,31.01.2025,09.09.2025
001 E,TFO2024,North sea,ACTIVE,NO,14.03.2025,14.03.2032,4,4,INITIAL,38724063,,,001 B,917266,https://factpages.sodir.no/licence/pageview/all/38724063,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=38724063,29.05.2025,29.05.2025,09.09.2025
001 P,1-A,North sea,INACTIVE,NO,19.01.1994,14.12.1999,214,0,,20764,001,20756,,,https://factpages.sodir.no/licence/pageview/all/20764,,31.01.2025,31.01.2025,09.09.2025
002,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1977,2173,0,,20772,,,,,https://factpages.sodir.no/licence/pageview/all/20772,,31.01.2025,31.01.2025,09.09.2025
003,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1977,2218,0,,20780,,,,,https://factpages.sodir.no/licence/pageview/all/20780,,31.01.2025,31.01.2025,09.09.2025
004,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1977,970,0,,20788,,,,,https://factpages.sodir.no/licence/pageview/all/20788,,31.01.2025,31.01.2025,09.09.2025
005,1-A,North sea,INACTIVE,NO,01.09.1965,01.09.1982,1660,0,,20796,,,,,https://factpages.sodir.no/licence/pageview/all/20796,,31.01.2025,31.01.2025,09.09.2025
006,1-A,North sea,ACTIVE,YES OR PARTLY,01.09.1965,31.12.2048,2279,38,PRODUCTION EXTENDED,20804,,,,,https://factpages.sodir.no/licence/pageview/all/20804,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=20804,03.06.2025,07.06.2025,09.09.2025
006 B,1-A,North sea,ACTIVE,NO,09.10.2000,31.12.2028,128,77,PRODUCTION,1333048,006,20804,,,https://factpages.sodir.no/licence/pageview/all/1333048,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=1333048,31.01.2025,07.05.2025,09.09.2025
006 C,1-A,North sea,ACTIVE,NO,09.10.2000,31.12.2028,678,47,PRODUCTION,1333089,006,20804,,,https://factpages.sodir.no/licence/pageview/all/1333089,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=1333089,31.01.2025,07.05.2025,09.09.2025
006 D,TFO2007,North sea,INACTIVE,NO,29.02.2008,29.08.2011,47,0,,4909688,,,006 C,1333089,https://factpages.sodir.no/licence/pageview/all/4909688,,31.01.2025,31.01.2025,09.09.2025
